Property ID,Geographic ID,Type,Property Address,Legal Description,Owner Name,Doing Business As,Appraised Value
1221523,00000-122-1523,"Personal","6323 SOVEREIGN ST  187B SAN ANTONIO, TX 78299","ABALITE REALTY GROUP INC 6323 SOVEREIGN ST STE 187B FURN FIXT SUP","ABALITE REALTY GROUP INC","ABALITE REALTY GROUP INC","2,000"
816502,90106-186-0055,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","AMERICAN GREETINGS CORP 000000 00 VARIOUS LOCATIONS INVENTORY ","AMERICAN GREETINGS CORP","AMERICAN GREETINGS CORP","313,280"
818222,90106-696-1250,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","AMERICAN HONDA 000000 00 VARIOUS LOC EQPT ","AMERICAN HONDA","AMERICAN HONDA","80,740"
825589,90202-084-7971,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299","BANK OF AMERICA (ATMS) 000000 00 VARIOUS LOC  ","BANK OF AMERICA","BANK OF AMERICA (ATMS)","207,350"
839535,90303-455-1105,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","CAT SCALE CO OF TEXAS 000000 00 VARIOUS LOC EQPT ","CAT SCALE CO OF TEXAS","CAT SCALE CO OF TEXAS","76,260"
843563,90305-354-4010,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","CISCO SYSTEMS CAPITAL 000000 00 VARIOUS LOC EQPT ","CISCO SYSTEMS CAPITAL","CISCO SYSTEMS CAPITAL","11,740,370"
846255,90306-828-9500,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","COMMERCE BANK NA 000000 00 VARIOUS LOC EQPT ","COMMERCE BANK NA","COMMERCE BANK NA","115,570"
846935,90307-284-4991,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","COMPUTER SCIENCES CORP 000000 00 VARIOUS LOC EQPT ","COMPUTER SCIENCES CORP","COMPUTER SCIENCES CORP","42,290"
847406,90307-373-2210,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","CONNELL FINANCE CO INC 000000 00 VARIOUS LOCATIONS EQPT ","CONNELL FINANCE CO INC","CONNELL FINANCE CO INC","821,350"
852899,90402-072-6765,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299","DATA SALES CO 000000 00 VARIOUS LOC VARIOUS LOC ","DATA SALES CO","DATA SALES CO","202,610"
858719,90501-023-1710,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","E PLUS GROUP INC 000000 00 VAROUS LOCATIO EQPT ","E PLUS GROUP INC","E PLUS GROUP INC","253,070"
866552,90603-270-0750,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","FIDELITY ASSET MANAGEMENT 000000 00 VARIOUS LOCATIONS EQPT ","FIDELITY ASSET MANAGEMENT","FIDELITY ASSET MANAGEMENT","98,230"
867766,90605-014-8175,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","FIRSTLEASE 000000 00 VARIOUS LOC EQPT ","FIRSTLEASE","FIRSTLEASE","109,430"
873914,90703-120-5702,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","GENEVA CAPITAL LLC 000000 00 VARIOUS LOCATI EQPT ","GENEVA CAPITAL LLC","GENEVA CAPITAL LLC","2,268,850"
876316,90705-468-3600,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","GORDON FLESCH CO 000000 00 VARIOUS LOC EQUIP ","GORDON FLESCH CO","GORDON FLESCH CO","36,480"
879471,90801-147-3100,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","HAEMONETICS 000000 00 VARIOUS LOCATIONS EQPT ","HAEMONEICS INC","HAEMONETICS","2,531,440"
881686,90803-056-9950,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","HEALTHCARE SERVICES GROUP 000000 00 VARIOUS LOC EQPT ","HEALTHCARE SERVICES GROUP","HEALTHCARE SERVICES GROUP","32,530"
900763,91203-345-0800,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","LEASING ASSOC OF BARRINGTON 000000 00 VARIOUS LOC EQPT ","LEASING ASSOC OF BARRINGTON","LEASING ASSOC OF BARRINGTON","5,801,520"
921848,91408-148-1300,"Personal","VARIOUS LOCATIONS  SAN ANTONIO, TX 78299-9999","NORTHERN LEASING SYSTEMS 000000 00 VARIOUS LOC EQPT ","NORTHERN LEASING SYS","NORTHERN LEASING SYSTEMS","41,390"
